message,show_cmds,debug_cmds,severity,confidence
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%ETHPORT-4-IF_FLAPPING: Interface Ethernet1/2 is flapping,"show interface Ethernet1/2, show logging onboard, show port internal event-history all","debug ethernet events, debug interface flaps",Warning,1.0
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%ARP-4-INCOMPLETE: Incomplete ARP entry for 192.168.1.200,,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%ETHPORT-4-IF_FLAPPING: Interface Ethernet1/2 is flapping,"show interface Ethernet1/2, show logging onboard, show port internal event-history all","debug ethernet events, debug interface flaps",Warning,1.0
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%ARP-4-INCOMPLETE: Incomplete ARP entry for 192.168.1.200,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%ARP-4-INCOMPLETE: Incomplete ARP entry for 192.168.1.200,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%ETHPORT-4-IF_FLAPPING: Interface Ethernet1/2 is flapping,"show interface Ethernet1/2, show logging onboard, show port internal event-history all","debug ethernet events, debug interface flaps",Warning,1.0
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%ETHPORT-4-IF_FLAPPING: Interface Ethernet1/2 is flapping,"show interface Ethernet1/2, show logging onboard, show port internal event-history all","debug ethernet events, debug interface flaps",Warning,1.0
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%FAN-4-FAN_WARNING: Fan speed below normal in module 2,,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
"%STP-3-LOOP_DETECTED: Loop detected on VLAN0020, blocking port Ethernet1/17","show spanning-tree, show spanning-tree vlan 1, show spanning-tree interface  detail, show interface ","debug spanning-tree events, debug spanning-tree bpdu, debug spanning-tree state",Critical,1.0
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%ETHPORT-4-IF_FLAPPING: Interface Ethernet1/2 is flapping,"show interface Ethernet1/2, show logging onboard, show port internal event-history all","debug ethernet events, debug interface flaps",Warning,1.0
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%VPC-6-VPC_PEER_REACHABLE: vPC peer is now reachable,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%ETHPORT-4-IF_FLAPPING: Interface Ethernet1/2 is flapping,"show interface Ethernet1/2, show logging onboard, show port internal event-history all","debug ethernet events, debug interface flaps",Warning,1.0
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
"%STP-3-LOOP_DETECTED: Loop detected on VLAN0020, blocking port Ethernet1/17","show spanning-tree, show spanning-tree vlan 1, show spanning-tree interface  detail, show interface ","debug spanning-tree events, debug spanning-tree bpdu, debug spanning-tree state",Critical,1.0
%VPC-6-VPC_PEER_REACHABLE: vPC peer is now reachable,,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
%VPC-6-VPC_PEER_REACHABLE: vPC peer is now reachable,,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%FAN-4-FAN_WARNING: Fan speed below normal in module 2,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
"%STP-3-LOOP_DETECTED: Loop detected on VLAN0020, blocking port Ethernet1/17","show spanning-tree, show spanning-tree vlan 1, show spanning-tree interface  detail, show interface ","debug spanning-tree events, debug spanning-tree bpdu, debug spanning-tree state",Critical,1.0
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%ARP-4-INCOMPLETE: Incomplete ARP entry for 192.168.1.200,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%ETHPORT-5-IF_DOWN_ADMIN_DOWN: Interface Ethernet1/1 is down (Administratively down),,,Info,0.8
%MODULE-4-MOD_PWR_LOW: Power supply module 1 below threshold,"show environment, show environment power, show module",,Warning,1.0
%VPC-6-VPC_PEER_REACHABLE: vPC peer is now reachable,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%ARP-4-INCOMPLETE: Incomplete ARP entry for 192.168.1.200,,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%FAN-4-FAN_WARNING: Fan speed below normal in module 2,,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%VPC-6-VPC_PEER_REACHABLE: vPC peer is now reachable,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%ETHPORT-6-IF_UP: Interface Ethernet1/1 is up,,,Info,1.0
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%FAN-4-FAN_WARNING: Fan speed below normal in module 2,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%VPC-6-VPC_PEER_REACHABLE: vPC peer is now reachable,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%SNMP-6-SNMP_ENABLED: SNMP agent enabled,,,Info,0.8
%FEX-4-FEX_NOT_RESPONDING: FEX 101 is not responding,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%ARP-3-DUP_IP_ADDR: Duplicate IP address 192.168.1.1 detected on Ethernet1/15,"show ip arp, show mac address-table, show interface ","debug ip arp, debug arp events",Critical,1.0
"%STP-3-LOOP_DETECTED: Loop detected on VLAN0020, blocking port Ethernet1/17","show spanning-tree, show spanning-tree vlan 1, show spanning-tree interface  detail, show interface ","debug spanning-tree events, debug spanning-tree bpdu, debug spanning-tree state",Critical,1.0
%MODULE-2-MOD_PWRDOWN: Power to module 2 shut down due to temperature threshold exceeded,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
%SYSMGR-2-SERVICE_CRASHED: Service 'ifmgr' (PID 1234) crashed due to signal 11,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%SYS-6-LOGGING_ENABLED: Syslog logging enabled,,,Info,0.8
%FAN-3-FAN_FAILED: Fan in module 1 failed,,,Info,0.8
%PMON-2-THRESHOLD: High temperature detected in module 1,,,Info,0.8
%STP-6-PORT_FORWARDING: Port Ethernet1/3 forwarding in VLAN0010,,,Info,0.8
%STP-2-PORT_BLOCK: Blocking port Ethernet1/5 on VLAN0010 due to BPDU received,,,Info,0.8
"%VPC-2-VPC_PEER_LINK_DOWN: vPC peer-link going down, traffic may be impacted",,,Info,0.8
%ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/10 is down (Link failure),"show interface Ethernet1/10, show logging onboard Ethernet1/10, show interface transceiver details","debug ethernet interface, debug interface link, debug hardware errors",Critical,1.0
